OK = 90372  Warning = 6698  Error = 1045  Total = 98115  Percent = 92.10824033022473
OK = 90529  Warning = 6709  Error = 1046  Total = 98284  Percent = 92.10960074885027
OK = 91070  Warning = 6765  Error = 1052  Total = 98887  Percent = 92.09501754527895
OK = 91327  Warning = 6791  Error = 1053  Total = 99171  Percent = 92.09042966189712
OK = 91333  Warning = 6792  Error = 1054  Total = 99179  Percent = 92.0890511096099
OK = 91566  Warning = 6828  Error = 1056  Total = 99450  Percent = 92.07239819004525
OK = 91577  Warning = 6829  Error = 1056  Total = 99462  Percent = 92.07234923890532
OK = 91860  Warning = 6850  Error = 1058  Total = 99768  Percent = 92.07361077700264
OK = 91862  Warning = 6850  Error = 1058  Total = 99770  Percent = 92.07376967024156
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 2  Warning = 0  Error = 0  Total = 2  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
OK = 1  Warning = 0  Error = 0  Total = 1  Percent = 100.0
